INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
FG-  HE_SIDE HOUSING 1_ DB72123BGCUAWX _L291.6X191.6_,DB72123BGCUAWX,-,90210976,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
HE_T/B HOUSING_ DB72121BXCCAKX _L442.5X842.5_FAB,DB72121BXCCAKX _L442.5X842.5,-,90211143,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_DOUBLE STACK TOP HOUSING-1 VE_DB72501CKCDADX,DB72501CKCDADX,-,90200175,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-1 FE DOUBLE STACK_DB72103MXC035X,DB72103MXC035X,-,90200159,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-1 HE_DB72123BGCKACX,DB72123BGCKACX,-,90213381,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-5000A IP COVER DS_DB75004XLXXXXX,DB75004XLXXXXX,-,90212041,16,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD T/BH 3P4W 2.35M,DB72111AXC235X,-,90010014,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_T/B HOUSING_ DB72111AXC130X _L1030_,DB72111AXC130X,-,90210633,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FLANGE SUPPORT,DB72004XXXXXXX,-,90010045,30,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  HE_T/H 1 _ DB72122BXCUAWX _L342.5X242.5_,DB72122BXCUAWX,-,90210977,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP SUPPORT PLATE_DB72257QXXXXDX,DB72257QXXXXDX,-,90212190,22,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING FEEDER_DB72112AHC110X,DB72112AHC110X,-,90212208,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP SUPPORT PLATE_DB72257QXXXXGX,DB72257QXXXXGX,-,90212486,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-2 3P4W .35X.6M_DB72192NXCVAEX,DB72192NXCVAEX,-,90214258,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VE TH-4 4500A 3P4W+50%E .7X.7M_DB72504CLDGAGX,DB72504CLDGAGX,-,90214302,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VE SH 800A 3P4W .5X.6M_DB72133CCCCAEX,DB72133CCCCAEX,-,90214327,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING 1 ASSEMBLY PIF_DB92201PHC3001,DB92201PHC3001,-,90212177,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-3 VEFE DOUBLE STACK_DB72206OKCCAGX,DB72206OKCCAGX,-,90214277,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-2 S2 4000A 3P4W .5X.7M_DB72211OKCCAGD,DB72211OKCCAGD,-,90214280,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF TH-1 3P4W 2.95M 1P_DB72259QXC2951,DB72259QXC2951,-,90214275,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXD300X,DB72113AXD300X,-,90214290,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC250X _L2240_,DB72114AXC250X,-,90210717,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AHC300X,DB72112AHC300X,-,90200114,14,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_IP COVER_DB75004XCXXXXX,DB75004XCXXXXX,-,90200181,88,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VTE TH2 3P4W .5X.5M_DB72182EHCCACX,DB72182EHCCACX,-,90213735,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING 1 VTE_DB72183EHCCCCX,DB72183EHCCCCX,-,90212712,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING 3 HE_DB72125BXCCAKX,DB72125BXCCAKX,-,90213383,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING FE_DB72102MHC025B,DB72102MHC025B,-,90213415,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD T/BH 3P4W 2.25M,DB72111AXC225X,-,90010013,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FD_T/B HOUSING_ DB72111AXC100X_ L750 _FAB,DB72111AXC100X,-,90210334,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  VE_TOP HOUSING 1_ DB72501CKCGAGX _L799.1X799.1_,DB72501CKCGAGX,-,90210993,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FE_SUPPORT PLATE DB72003XFCXXXB _L560X466_FAB,DB72003XFCXXXB _L560X466,-,90211070,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP/BOTTOM HOUSING FEEDER 3P4W 2.95 MTR_DB72111AXC295X,DB72111AXC295X,-,90200259,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-2 VE_DB72132CFCCACX,DB72132CFCCACX.,-,90200062,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- BOTTOM HOUSING -1 PIF+TOF DOUBLE STACK_ST72261UXC300X,ST72261UXC300X,-,90214270,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VE SH S2 4500A 3P4W+50%E .7X.7M_DB72506CLDGAGX,DB72506CLDGAGX,-,90214304,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VEFE TH-1 4500A 3P4W+50%E .45X.7M_DB72511OLDBAGX,DB72511OLDBAGX,-,90214312,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-2 REDUCER_DB72243LFCCCCX,DB72243LFCCCCX,-,90214320,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE SH-2 2000A 3P4W .35X.3M_DB72194NGCVAWA,DB72194NGCVAWA,-,90214263,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-1 TOF_ST72258QXC3001,ST72258QXC3001,-,90214269,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-1VEFE DOUBLE STACK_DB72511OKCCAGX,DB72511OKCCAGX,-,90214282,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP/BOTTOM HOUSING FEEDER 3P4W+50%E 1.1_DB72111AXD110X,DB72111AXD110X,-,90214287,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_DOUBLE STACK TOP HOUSING-2 VE_DB72502CKCDADX,DB72502CKCDADX,-,90200176,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP/BOTTOM HOUSING FLANGE END_DB72101MXC025X,DB72101MXC025X,-,90200140,8,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- PIF SH ASY 2500A 3P4W 3M 3P_DB92201PHC3003,DB92201PHC3003,-,90214268,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-1 S2 4000A 3P4W .5X.7M_DB72210OKCCAGD,DB72210OKCCAGD,-,90214279,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_END COVER_DB75034XFCXXXX,DB75034XFCXXXX,-,90200860,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-2 REDUCER_DB72242LHCCCFX,DB72242LHCCCFX,-,90214319,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  HE_SIDE HOUSING 2_ DB72124BGCUAWX _L260X160_,DB72124BGCUAWX,-,90210975,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_T/B HOUSING_ DB72111AXC070X_ L450 _,DB72111AXC070X,-,90210865,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP HOUSING -3TOF_DB72260QXC3002,DB72260QXC3002,-,90212492,13,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SIDE HOUSING TOF_DB72112QFC3001,DB72112QFC3001,-,90214182,8,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING-1 HE_DB72123BHCCACX,DB72123BHCCACX,-,90200119,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- FE SH 2500A 3P4W .5M_DB72102MHC050B,DB72102MHC050B,-,90211571,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF SH 2000A 3P4W 3M 1P_DB72112QGC300X,DB72112QGC300X,-,90213102,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VTE SH 4000A 3P4W .75X.75X.75M_DB72186EKCHHHX,DB72186EKCHHHX,-,90214286,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-1 S2 4500A 3P4W+50%E .45X.7M_DB72210OLDBAGC,DB72210OLDBAGC,-,90214309,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC255X _L2290_FAB,DB72113AXC255X,-,90211380,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING FEEDER_DB72112ACC100X,DB72112ACC100X,-,90200192,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  VE_SIDE HOUSING S2_ DB72506CKCGAGX _L556.5X556.5_,DB72506CKCGAGX,-,90210999,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AFC100X,DB72112AFC100X,-,90200261,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP/BOTTOM HOUSING FEEDER 3P4W+50%E 3 MT_DB72111AXD300X,DB72111AXD300X,-,90212540,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING FEEDER_DB72112AHD300X,DB72112AHD300X,-,90212548,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-2 S1 4500A 3P4W+50%E .45X.7M_DB72512OLDBAGC,DB72512OLDBAGC,-,90214313,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-4 VEFE DOUBLE STACK_DB72207OKCCAGX,DB72207OKCCAGX,-,90214278,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AGC255X,DB72112AGC255X.,-,90200014,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING VE STACK-1_DB72505CKCDADX,DB72505CKCDADX,-,90200179,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING 1 VE_DB72133CHCCACX,DB72133CHCCACX,-,90200127,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-1 3P4W .35X.6M_DB72191NXCVAEX,DB72191NXCVAEX,-,90214256,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- FE SH 2500A 3P4W+50%E .3M_DB72102MHD030D,DB72102MHD030D,-,90214296,8,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF SH 1600A 3P4W 3M 2P_DB72112QFC3002,DB72112QFC3002,-,90214323,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_END COVER_DB75034XCCXXXX,DB75034XCCXXXX,-,90200375,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD SH 800A 3P4W 3M,DB72112ACC300X,-,90010029,30,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC235X _L2110_,DB72114AXC235X,-,90210677,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-4 3P4W .35X.3M_DB72196NXCVAWX,DB72196NXCVAWX,-,90214267,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING FEEDER_DB72112AHD110X,DB72112AHD110X,-,90214288,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING 2 HEFE_DB72192NXCVAWX,DB72192NXCVAWX,-,90214259,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VEFE TH-2 4500A 3P4W+50%E .45X.7M_DB72505OLDBAGX,DB72505OLDBAGX,-,90214311,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD SH 2000A 3P4W 3M,DB72112AGC300X,-,90010042,40,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD T/BH 3P4W 2.5M,DB72111AXC250X,-,90010016,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING-2 HE_DB72124BHCCACX,DB72124BHCCACX,-,90200122,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201PGC3001,DB92201PGC3001,-,90211814,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SUPPORT PLATE_DB72003XCCXXXB,DB72003XCCXXXB,-,90212144,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE SH-2 2000A 3P4W .35X.6M_DB72194NGCVAEA,DB72194NGCVAEA,-,90214262,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SUPPORT STRIP_DB70301XXDXXXD,DB70301XXDXXXD,-,90214293,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-2 TOF+PIF_ST72262UXC3001,ST72262UXC3001,-,90214271,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-1 S1 4500A 3P4W+50%E .45X.7M_DB72513OLDBAGC,DB72513OLDBAGC,-,90214314,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING -3TOF_DB72260QXC3001,DB72260QXC3001,-,90212193,14,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_IP 65/66 COVER BBT_DB75004XHXXXXX,DB75004XHXXXXX,-,90200184,60,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AGC295X,DB72112AGC295X,-,90213944,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC235X _L2090_,DB72113AXC235X,-,90210671,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_SIDE HOUSING FE_DB72102MFC050B,DB72102MFC050B,-,90200414,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-2 DOUBLE STACK_DB72114AXC295X,DB72114AXC295X,-,90200273,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-2 VE_DB72132CHCCACX,DB72132CHCCACX,-,90200126,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP SUPPORT PLATE 250A 3P4W_DB72257QXXXXBX,DB72257QXXXXBX,-,90214324,60,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS SUPPORT PLATE 4500A 3P4W+50%E 150P_DB72005XLDXXXC,DB72005XLDXXXC,-,90214306,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  VE_TOP HOUSING 3_ DB72503CKCGAGX _L389.1X559.1_,DB72503CKCDAGX,-,90210990,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  VTE_SUPPORT BLOCK ASSLY_DB95009XXXXXXX_,DB95009XXXXXXX,-,90210836,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP HOUSING -2TOF_DB72259QXC3002,DB72259QXC3002,-,90212490,26,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP HOUSING -1TOF_DB72258QXC3002,DB72258QXC3002,-,90212488,13,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE SH-1 2000A 3P4W .35X.6M_DB72193NGCVAEA,DB72193NGCVAEA,-,90214260,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-1 REDUCER_DB72241LHCCCFX,DB72241LHCCCFX,-,90214317,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD T/BH 3P4W 2.8M,DB72111AXC280X,-,90010017,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
PIF+G_T/H _ DB72221PXC3002 _L2750_FAB.,DB72221PXC3002,-,90210489,7,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FD_S/H_ DB72112AFC130X _L1035_FAB,DB72112AFC130X _L1035,-,90211065,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FE_DS SUPPORT PLATE 4000A 3P4W_DB72005XKCXXXA_L460X366_FAB,DB72005XKCXXXA_L460x366,-,90211126,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP/BOTTOM HOUSING FLANGE END_DB72101MXC035X,DB72101MXC035X,-,90200155,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-3 3P4W .35X.6M_DB72195NXCVAEX,DB72195NXCVAEX,-,90214264,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF TH-2 3P4W 2.95M 1P_DB72258QXC2951,DB72258QXC2951,-,90214274,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-2 S1 4000A 3P4W .5X.7M_DB72513OKCCAGD,DB72513OKCCAGD,-,90214284,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- RD SH 4000A 3P4W .7X.7M 2500A_DB72248LKCGGHX,DB72248LKCGGHX,-,90213732,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FD_T/H 1_ DB72113AXC300X _L2750_FAB.,DB72113AXC300X,-,90210535,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC250X _L2240_,DB72113AXC250X,-,90210716,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
HE_T/B HOUSING_ DB72121BXCKACX _L842.5X442.5_FAB,DB72121BXCKACX _L842.5X442.5,-,90211144,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP 1 HOUSING VTE_DB72181EXC100X,DB72181EXC100X,-,90211669,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-TOP HOUSING-1 REDUCER-DB72111LXC100X,DB72111LXC100X,-,90211806,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-3 3P4W .35X.3M_DB72195NXCVAWX,DB72195NXCVAWX,-,90214265,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SUPPORT STRIP_DB70301XXDXXXC,DB70301XXDXXXC,-,90214305,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VEFE TH-3 4500A 3P4W+50%E .45X.7M_DB72206OLDBAGX,DB72206OLDBAGX,-,90214307,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-1 REDUCER_DB72241LFCCCCX,DB72241LFCCCCX,-,90214316,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  IP 55/65/66 JT COVER 1600A 3P4W(50N),DB75004XFXXXXX,-,90210552,32,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FD_T/B HOUSING_ DB72111AXC185X_ L1625 _FAB,DB72111AXC185X,-,90210355,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD T/BH 3P4W 3M,DB72111AXC300X,-,90010018,86,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  SIDE HOUSING -2 HE,DB72124BFCCACX,-,90211475,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING ASSLY PIF_DB92201PHC3002,DB92201PHC3002,-,90212666,6,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING -1TOF_DB72259QXC3001,DB72259QXC3001,-,90212192,15,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF SH 2000A 3P4W 2.95M_DB72112QGC295X,DB72112QGC295X,-,90214273,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VE TH-1 4500A 3P4W+50%E .7X.7M_DB72501CLDGAGX,DB72501CLDGAGX,-,90214299,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   FD SH 2000A 3P4W 2.35M,DB72112AGC235X,-,90010038,4,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-   JOINT COVER,DB75031XXXXXXX,-,90010001,252,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  VE_TOP HOUSING 2_ DB72502CKCGAGX _L592.5X592.5_,DB72502CKCGAGX,-,90210997,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC185X _L1580_,DB72113AXC185X,-,90210711,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING -1 PIF_DB72221PXC3003,DB72221PXC3003,-,90200396,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
SUPPORT PLATE 2500A 3P4W 130P,DB72003XHCXXXB,-,90211572,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-1 VE_DB72131CFCCACX,DB72131CFCCACX.,-,90200060,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING -2TOF_DB72258QXC3001,DB72258QXC3001,-,90212191,15,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF TH-3 3P4W 3M 1P_DB72264QXC3001,DB72264QXC3001,-,90213105,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VTE TH2 3P4W .75X.75M_DB72182EKCHAHX,DB72182EKCHAHX,-,90214285,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXD110X,DB72114AXD110X,-,90214291,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-2 FE DOUBLE STACK_DB72104MXD030X,DB72104MXD030X,-,90214298,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXD300X,DB72114AXD300X,-,90214292,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-2 REDUCER_DB72242LFCCCCX,DB72242LFCCCCX,-,90214318,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG -SIDE HOUSING FEEDER_DB72112AHC280X,DB72112AHC280X,-,90212872,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VE TH-3 4500A 3P4W+50%E .7X.7M_DB72503CLDGAGX,DB72503CLDGAGX,-,90214301,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VEFE TH-4 4500A 3P4W+50%E .45X.7M_DB72207OLDBAGX,DB72207OLDBAGX,-,90214308,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VEFE SH-2 S2 4500A 3P4W+50%E .45X.7M_DB72211OLDBAGC,DB72211OLDBAGC,-,90214310,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- VE TH-1 800A 3P4W .6X.5M_DB72131CCCEACX,DB72131CCCEACX,-,90214325,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AHC100X,DB72112AHC100X,-,90211948,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP HOUSING-2 FE DOUBLE STACK_DB72104MXC035X,DB72104MXC035X,-,90200161,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AHC070X,DB72112AHC070X,-,90212101,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- HEFE TH-4 3P4W .35X.6M_DB72196NXCVAEX,DB72196NXCVAEX,-,90214266,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- DS VE TH-2 4500A 3P4W+50%E .7X.7M_DB72502CLDGAGX,DB72502CLDGAGX,-,90214300,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- TOF SH 800A 3P4W 3M 2P_DB72112QCC3002,DB72112QCC3002,-,90214322,24,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
PIF+G_T/H _ DB72221PXC300X _L2750_FAB.,DB72221PXC300X,-,90210490,7,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  SIDE HOUSING -1 HE,DB72123BFCCACX,-,90211471,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_TOP/BOTTOM HOUSING FEEDER 3P4W 1.35 MTR_DB72111AXC135X,DB72111AXC135X,-,90200257,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC185X _L1580_,DB72114AXC185X,-,90210712,1,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG_DOUBLE STACK TOP HOUSING-3 VE_DB72503CKCDADX,DB72503CKCDADX,-,90200177,3,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
FG- SIDE HOUSING-2 HE_DB72124BGCKACX,DB72124BGCKACX,-,90213382,2,PDI-FGS,69,000104,11/02/2024,LER,50,11/02/2024,,,
