INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
VE SH S1 3200A 3P4W(50%N) .85X.65M,DB72505CIGJAFX,-,90214587,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_SIDE HOUSING_ DB72112AGC140X _L1150_,DB72112AGC140X,-,90210906,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  TOP HOUSING 2 HE,DB72122BXCCACX,-,90211467,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXC110X,DB72113AXC110X,-,90200023,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FLANGE SUPPORT,DB72004XXXXXXX,-,90010045,8,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD T/BH 3P4W 2.45M,DB72111AXC245X,-,90210564,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  IP 55/65/66 JT COVER 3200A 3P4W(50N),DB75004XIXXXXX,-,90210554,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP/BOTTOM HOUSING FEEDER 3P4W 0.95 MTR_DB72111AXC105X,DB72111AXC105X.,-,90200042,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AOC245X,DB72112AOC245X,-,90214575,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING 1 TRIPPLE STACK VE_DB72614CMCGAGX,DB72614CMCGAGX,-,90200302,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING 1 (TRIPPLE STACK) VE_DB72617CMCGAGX,DB72617CMCGAGX,-,90200305,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FE_DS T/H 2 _  DB72104MXC050X _L375_FAB,DB72104MXC050X _L375,-,90211096,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
DS VE TH-1 3200A 3P4W(50%N) .85X.65M,DB72501CIGJAFX,-,90214583,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-1 DOUBLE STACK_DB72113AXC205X,DB72113AXC205X,-,90200024,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AGC105X,DB72112AGC105X,-,90200530,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FD_T/B HOUSING_ DB72111AXC100X_ L750 _FAB,DB72111AXC100X,-,90210334,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FD_T/H 1_ DB72113AXC300X _L2750_FAB.,DB72113AXC300X,-,90210535,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AGC255X,DB72112AGC255X.,-,90200014,12,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   HE SH-1 2000A 3P4W .5X.5M,DB72123BGCCACX,-,90010065,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
PIF+G_T/H _ DB72221PXC300X _L2750_FAB.,DB72221PXC300X,-,90210490,24,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
DS VE TH-4 3200A 3P4W(50%N) .85X.65M,DB72504CIGJAFX,-,90214585,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
DS VE TH-2 3200A 3P4W(50%N) .85X.65M,DB72502CIGJAFX,-,90214582,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC255X _L2290_FAB,DB72114AXC255X,-,90211381,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-2 DOUBLE STACK_DB72114AXC205X,DB72114AXC205X,-,90200027,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FD T/BH 3P4W 2.4M,DB72111AXC240X,-,90010015,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FD T/BH 3P4W 1.1M,DB72111AXC110X,-,90010006,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
VE SH S2 3200A 3P4W(50%N) .85X.65M,DB72506CIGJAFX,-,90214589,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING 2 (TRIPPLE STACK) VE_DB72621CMCGAGX,DB72621CMCGAGX,-,90200309,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-SUPPORT STRIP,DB70301XXCXXXD,-,90211062,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_T/B HOUSING_ DB72111AXC140X_ L1150 _,DB72111AXC140X,-,90210905,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FD SH 2000A 3P4W 3M,DB72112AGC300X,-,90010042,12,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FE_T/B HOUSING DB72101MXC050X _L375_FAB,DB72101MXC050X,-,90210376,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-1 DOUBLE STACK_DB72113AXC105X,DB72113AXC105X,-,90200286,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-TOP-1 HOUSING PIF_DB72221PXC3001,DB72221PXC3001,-,90211765,24,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING FE_DB72102MGC050D,DB72102MGC050D,-,90200602,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING 1 TRIPPLE STACK VE_DB72615CMCGAGX,DB72615CMCGAGX,-,90200303,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-FD SH 250A 3P4W 2.4M_DB72112AOC240X,DB72112AOC240X,-,90214574,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_T/B HOUSING_ DB72111AXC210X _L1850_FAB,DB72111AXC210X,-,90211362,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FD SH 2000A 3P4W 2.05M,DB72112AGC205X,-,90010036,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FD_T/H 2_ DB72113AXC300X _L2750_FAB,DB72114AXC300X,-,90210536,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
TOP DUCT RISER3200A 10FT 1HUMP P002,76300-409-R-002-03,-,91222197,26,PDI-FGS,69,000158,11/03/2024,SPT,50,11/03/2024,,,
SIDE DICT FOR RISER 10FT W/O SLOT,45217-270-05-R,-,91220098,26,PDI-FGS,69,000158,11/03/2024,SPT,50,11/03/2024,,,
BOT DUCT 3200A 10FT 1HUMP P002 P004,76300-412-002-03,-,91222533,26,PDI-FGS,69,000158,11/03/2024,SPT,50,11/03/2024,,,
SIDE DUCT  10FT 1HUMP P002,76300-140-002,-,91220114,26,PDI-FGS,69,000158,11/03/2024,SPT,50,11/03/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AAC240X,DB72112AAC240X,-,90214579,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_SUPPORT PLATE_DB72003XACXXXA,DB72003XACXXXA,-,90200432,1,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-SIDE HOUSING FE_DB72102MAC025A,DB72102MAC025A,-,90211739,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AHC300X,DB72112AHC300X,-,90200114,132,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-TOP-1 HOUSING PIF_DB72221PXC3001,DB72221PXC3001,-,90211765,7,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201PAC2002,DB92201PAC2002,-,90211742,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FD_T/H 2_ DB72113AXC300X _L2750_FAB,DB72114AXC300X,-,90210536,66,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-TOP HOUSING -1 PIF_DB72221PXC2002,DB72221PXC2002,-,90211740,1,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_IP 65/66 COVER BBT_DB75004XHXXXXX,DB75004XHXXXXX,-,90200184,132,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-   FD SH 2000A 3P4W 3M,DB72112AGC300X,-,90010042,264,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-   JOINT COVER,DB75031XXXXXXX,-,90010001,294,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-  FD T/BH 3P4W 2.45M,DB72111AXC245X,-,90210564,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-   FLANGE SUPPORT,DB72004XXXXXXX,-,90010045,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FD_T/B HOUSING_ DB72111AXC120X_ L950 _FAB,DB72111AXC120X,-,90210340,6,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_TOP/BOTTOM HOUSING FLANGE END_DB72101MXC025X,DB72101MXC025X,-,90200140,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
PIF+G_T/H _ DB72221PXC3002 _L2750_FAB.,DB72221PXC3002,-,90210489,1,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201PAC3001,DB92201PAC3001,-,90212473,14,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FD_T/H 1_ DB72113AXC300X _L2750_FAB.,DB72113AXC300X,-,90210535,66,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
PIF+G_T/H _ DB72221PXC300X _L2750_FAB.,DB72221PXC300X,-,90210490,8,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_END COVER_DB75034XACXXXX,DB75034XACXXXX,-,90200427,1,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
ACC_IP COVER_DB75004XKXXXXX_FAB,DB75004XKXXXXX,-,90210538,132,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-FD SH 400A 3P4W 2.45M_DB72112AAC245X,DB72112AAC245X,-,90214580,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_SIDE HOUSING ASSLY PIF_DB92201PAC3002,DB92201PAC3002,-,90200436,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-   FD T/BH 3P4W 3M,DB72111AXC300X,-,90010018,264,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG-   FD T/BH 3P4W 2.4M,DB72111AXC240X,-,90010015,2,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AAC120X,DB72112AAC120X,-,90200429,6,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
PIF_PIH COVER_DB72226PXCXXXX_FAB.,DB72226PXCXXXX,-,90210499,11,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
