CUSTOMER,ITEM_NAME,ICODE,WK_REF,PLAN_QTY,VCHNUM,VCHDATE,ARCH_QTY,ISARCH,ENT_BY,ENT_DT,EDT_BY,EDT_DT,ACODE,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 4 160,90040225,202411,900,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 6 160,90040227,202411,850,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 8 160,90040228,202411,1500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 12 160,90040230,202411,1000,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 2W SD IP30 - PREMIUM (DBENC002SD),90020039,202411,2600,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 3W SD IP30 -PREMIUM,90020087,202411,360,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 4W SD IP30 - PREMIUM,90020038,202411,3800,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,P&S 10A 2PIN 1 MOD SD IP30-METAL CLAD,90020216,202411,70,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  1MOD SD IP30 - METAL CLAD,90020217,202411,1500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  2MOD SD IP30 - METAL CLAD,90020218,202411,1200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN 3MOD SD IP30 - METAL CLAD,90020220,202411,500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN  4MOD SD IP30 - METAL CLAD,90020221,202411,350,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 63A 5PIN 4MOD SD IP30 - METAL CLAD,90020222,202411,250,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 16A 3PIN 2MOD SD IP30 - PLASTIC,90020223,202411,18,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 32A 3PIN 4MOD SD IP30 - PLASTIC,90020224,202411,110,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 32A 5PIN 8MOD SD IP30 - PLASTIC,90020225,202411,250,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 63A  5PIN  8MOD SD IP30 - PLASTIC,90020226,202411,50,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 4W DD IP43_DBPSR004DD,90020196,202411,87,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 6W DD IP43_DBPSR006DD,90020197,202411,250,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 8W DD IP43_DBPSR008DD,90020198,202411,275,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 10W DD IP43,90020199,202411,12,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 12W DD IP43_DBPSR012DD,90020239,202411,30,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_6 WAY SPN SD_DBSPN006SDS,90200319,202411,64,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_8 WAY SPN DD_DBSPN008DDS,90200320,202411,2882,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN DD_DBSPN012DDS,90200323,202411,3600,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_16 WAY SPN DD_DBSPN016DDS,90200326,202411,2000,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
