ITEM_NAME,ERP_CODE,CLOSING,NAME,UNIT,ICAT,CPARTNO,CUST_REF,RATE,CAL_VALUE,PREFX,IWEIGHT,LABRCHG,IRATE1,IH_VALUE,TOT_VAL,GRP,STAGE,CLOSING_WT,FG_REF,,
SOCKET PLASTIC 32A 3PIN - CB00097,31040002,-4,61. ASSEMBLY  N4,NOS,-,-,0,203.33,-813,,0,0,0,0,-813,3104,61,0,,,
SOCKET PLASTIC 32A 5PIN - CB00098,31040003,-1,61. ASSEMBLY  N4,NOS,-,-,0,220.18,-220,,0,0,0,0,-220,3104,61,0,,,
M5 X 15 MS HEX BOLT PLATTED,32010011,1040,61. ASSEMBLY  N4,NOS,DOM,-,-,0,0,,0,0,0,0,0,3201,61,0,,,
M6 X 20MM HEX HEAD WITHOUT SLOT_ST40376_PL_EXP,32010018,858,61. ASSEMBLY  N4,NOS,DOM,-,-,1.0985,943,,0,0,0,0,943,3201,61,0,,,
EARTH BAR 12MOD_CB60934,32030031,7,61. ASSEMBLY  N4,NOS,-,CB60934,-,21.96,154,,0,0,0,0,154,3203,61,0,,,
EARTH BAR 18 MOD HPPI_CB60938,32030034,14,61. ASSEMBLY  N4,NOS,-,CB60938,-,30.82,431,,0,0,0,0,431,3203,61,0,,,
EARTH BAR 24 MOD_CB60939,32030035,7,61. ASSEMBLY  N4,NOS,-,CB60939,-,41,287,,0,0,0,0,287,3203,61,0,,,
EARTH BAR 36 MOD_CB60941,32030061,4,61. ASSEMBLY  N4,NOS,DOM,-,-,65.85,263,,0,0,0,0,263,3203,61,0,,,
EARTH BAR 9 MOD _CB60932,32030037,311,61. ASSEMBLY  N4,NOS,-,CB60932,-,17.25,5365,,0,0,0,0,5365,3203,61,0,,,
M4 HEX NUT,32030063,13555,61. ASSEMBLY  N4,NOS,DOM,-,-,0.13,1762,,0,0,0,0,1762,3203,61,0,,,
M4 HEX NUT FLAKE COATED_EXP,32030101,3978,61. ASSEMBLY  N4,NOS,DOM,-,-,0.2489,990,,0,0,0,0,990,3203,61,0,,,
M4 PLAIN WASHER_ST41520_EXP,32030088,20936,61. ASSEMBLY  N4,NOS,DOM,-,-,0.2,4187,,0,0,0,0,4187,3203,61,0,,,
M5 HEX NUT_PL,32030062,32323,61. ASSEMBLY  N4,NOS,DOM,-,-,0.148,4784,,0,0,0,0,4784,3203,61,0,,,
M5 HEX NUT_ST42319_PL_EXP,32030079,3151,61. ASSEMBLY  N4,NOS,DOM,-,-,0.215,677,,0,0,0,0,677,3203,61,0,,,
M6 HEX NUT_ST42316_PLATTED_EXP,32030080,3379,61. ASSEMBLY  N4,NOS,DOM,-,-,0.4413,1491,,0,0,0,0,1491,3203,61,0,,,
M6 WING NUT_XN00126_PL_EXP,32030081,356,61. ASSEMBLY  N4,NOS,DOM,-,-,2.8908,1029,,0,0,0,0,1029,3203,61,0,,,
NEUTRAL BAR 12 MOD VTPN MCCB_CB60977,32030040,108,61. ASSEMBLY  N4,NOS,-,CB60977,-,106.6,11513,,0,0,0,0,11513,3203,61,0,,,
NEUTRAL BAR 6 MOD VTPN MCCB_CB60973,32030046,31,61. ASSEMBLY  N4,NOS,-,CB60973,-,81.85,2537,,0,0,0,0,2537,3203,61,0,,,
NEUTRAL BAR 6 MOD VTPN_CB60946,32030047,67,61. ASSEMBLY  N4,NOS,-,CB60946,-,26.4,1769,,0,0,0,0,1769,3203,61,0,,,
NEUTRAL BAR 9 MOD VTPN MCCB_CB60975,32030049,32,61. ASSEMBLY  N4,NOS,-,CB60975,-,90.83,2907,,0,0,0,0,2907,3203,61,0,,,
NEUTRAL BAR VTPN IC_CB60066,32030050,37,61. ASSEMBLY  N4,NOS,-,CB60066,-,15.71,581,,0,0,0,0,581,3203,61,0,,,
SF-M4 NUT INSERT_XN00046_PL,32030054,9318,61. ASSEMBLY  N4,NOS,DOM,-,-,1.04,9691,,0,0,0,0,9691,3203,61,0,,,
HINGE PIN SURFACE SMALL PLATED_CB60067_BOP_FLAKE,32050037,5114,61. ASSEMBLY  N4,NOS,-,-,-,4,20456,,0,0,0,0,20456,3205,61,0,,,
M4 RIVET OPEN DOME HEAD BIG 4X12.7MM,32050020,4184,61. ASSEMBLY  N4,NOS,DOM,XR10021,-,0.65,2720,,0,0,0,0,2720,3205,61,0,,,
M4 RIVET OPEN DOME HEAD SMALL 4X7.96MM,32050019,658,61. ASSEMBLY  N4,NOS,DOM,XR10020,-,0.53,349,,0,0,0,0,349,3205,61,0,,,
RIVET (LX MCB ),32050006,4202,61. ASSEMBLY  N4,NOS,-,P/B4378A,0,0.103,433,,0,0,0,0,433,3205,61,0,,,
M4 X 10 SCREW CHHD_PL,32060142,676,61. ASSEMBLY  N4,NOS,DOM,-,-,0.16,108,,0,0,0,0,108,3206,61,0,,,
M4 X 12 SCREW CHHD PL,32060122,750,61. ASSEMBLY  N4,NOS,DOM,-,-,0.143,107,,0,0,0,0,107,3206,61,0,,,
M4 X 12MM CHEESE HEAD SCREW ROHS_XS00006_FLAKE,32060241,1787,61. ASSEMBLY  N4,NOS,DOM,XS00006,-,0.3087,552,,0,0,0,0,552,3206,61,0,,,
M4 X 13 COMBI W/W_PL,32060212,3582,61. ASSEMBLY  N4,NOS,DOM,-,BOP_M4 X 13,0.27,967,,0,0,0,0,967,3206,61,0,,,
M4 X 14MM CHEESE HEAD SCREW ROHS_XS00482_FLAKE,32060246,4,61. ASSEMBLY  N4,NOS,DOM,XS00482,-,0.5681,2,,0,0,0,0,2,3206,61,0,,,
M4 X 15 CHEASE HEAD SCREW PL,32060219,1214,61. ASSEMBLY  N4,NOS,DOM,-,-,0.197,239,,0,0,0,0,239,3206,61,0,,,
M4 X 20 SCREW CHHD W/W PL,32060160,100,61. ASSEMBLY  N4,NOS,DOM,-,-,0.24,24,,0,0,0,0,24,3206,61,0,,,
M4 X 20 SCREW COMBIHEAD PL,32060161,800,61. ASSEMBLY  N4,NOS,DOM,-,-,0.32,256,,0,0,0,0,256,3206,61,0,,,
M4 X 20 SCREW COMBIHEAD W/W PL,32060062,20,61. ASSEMBLY  N4,NOS,DOM,-,-,0.7166,14,,0,0,0,0,14,3206,61,0,,,
M4 X 6 SCREW CHHD W/W PL,32060119,16577,61. ASSEMBLY  N4,NOS,DOM,-,-,0.13,2155,,0,0,0,0,2155,3206,61,0,,,
M4 X 8 COMBI HEAD SCREW_XS02010_FLAKENOS,32060245,18572,61. ASSEMBLY  N4,NOS,DOM,XS02010,-,0.3149,5848,,0,0,0,0,5848,3206,61,0,,,
M4 X 8 CSK SLOTTED SCREW_XS00238_PL_EXP,32060222,12536,61. ASSEMBLY  N4,NOS,DOM,-,-,0.232,2908,,0,0,0,0,2908,3206,61,0,,,
M4 X 8 SCREW CHHD PL,32060118,1852,61. ASSEMBLY  N4,NOS,DOM,-,-,0.11,204,,0,0,0,0,204,3206,61,0,,,
M5 X 12 CHEASE HEAD SCREW_ST40375_PL_EXP,32060223,4058,61. ASSEMBLY  N4,NOS,DOM,-,-,0.571,2317,,0,0,0,0,2317,3206,61,0,,,
